id,tgl_rakit,tgl_pasang,bulan,tahun,no_po,ukuran,jumlah,satuan,lokasi,tahun_tanam,estate,divisi,status,status2,keterangan,periode,ukuran2,bln_name,x,y
54,2024-12-21,2024-12-21,December,2024,,Diameter 1.5 X 6 Mtr,1,Unit,L10,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1.5 X 6,Dec,111.086717,0.51039
55,2024-12-21,2024-12-21,December,2024,,Diameter 1.5 X 6 Mtr,1,Unit,L14,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1.5 X 6,Dec,111.089742,0.5132
56,2024-12-24,2024-12-24,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L14,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.086192,0.513187
57,2024-12-24,2024-12-24,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L07,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.079921,0.504918
58,2024-12-24,2024-12-24,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L07,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.080283,0.503931
59,2024-12-27,2024-12-27,December,2024,,Diameter 1 X 5 Mtr,1,Unit,K22,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.068339,0.546565
60,2024-12-28,2024-12-28,December,2024,,Diameter 1 X 5 Mtr,1,Unit,K16,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.066246,0.540621
61,2024-12-28,2024-12-28,December,2024,,Diameter 2 X 6 Mtr,1,Unit,K22,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,2 X 6,Dec,111.066242,0.545207
62,2024-12-28,2024-12-28,December,2024,,Diameter 1 X 5 Mtr,1,Unit,K28,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.066271,0.550519
63,2025-01-05,2025-01-05,January,2025,,Diameter 1 X 5 Mtr,1,Unit,K12,,Ngaring,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Jan,111.06529,0.53573
